Comment,Designator,Footprint,LCSC,Quantity
XC6206PxxxMR,U3,SOT-23-3,,1
W25Q128JVS,U2,SOIC-8_5.3x5.3mm_P1.27mm,,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,1
Keyswitch,S36,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S35,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S34,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S33,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S32,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S31,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S30,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S29,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S28,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S27,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S26,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S25,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S24,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S23,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S22,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S21,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S20,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S19,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S18,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S17,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S16,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S15,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S14,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S13,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S12,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S11,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S10,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S9,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S8,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S7,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S6,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S5,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S4,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S3,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S2,CPG1316S01D02_castelated_mikecinq,,1
Keyswitch,S1,CPG1316S01D02_castelated_mikecinq,,1
1µF,C1,C_0402_1005Metric,,1
D_Small,D36,Diode_SOD-123,,1
D_Small,D2,Diode_SOD-123,,1
D_Small,D28,Diode_SOD-123,,1
D_Small,D9,Diode_SOD-123,,1
TestPoint,TP6,TestPoint_Pad_D2.0mm,,1
D_Small,D24,Diode_SOD-123,,1
5.1kΩ,R5,R_0402_1005Metric,,1
TestPoint,TP11,TestPoint_Pad_D2.0mm,,1
D_Small,D22,Diode_SOD-123,,1
TestPoint,TP14,TestPoint_Pad_D2.0mm,,1
D_Small,D14,Diode_SOD-123,,1
12 MHz 20pF,Y1,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,,1
TestPoint,TP10,TestPoint_Pad_D2.0mm,,1
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
