Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0402_1005Metric,204.3176,-99.2632,180.0,top
C10,100nF,C_0402_1005Metric,216.4588,-110.2614,0.0,top
C11,1µF,C_0402_1005Metric,215.080267,-108.1864,90.0,top
C12,100nF,C_0402_1005Metric,211.4804,-105.3592,90.0,top
C13,100nF,C_0402_1005Metric,218.2114,-122.682,-90.0,top
C14,33pF,C_0402_1005Metric,208.4832,-122.714599,-90.0,top
C15,33pF,C_0402_1005Metric,215.9,-124.6886,90.0,top
C2,1µF,C_0402_1005Metric,216.154,-108.1786,90.0,top
C3,100nF,C_0402_1005Metric,212.3186,-101.2952,90.0,top
C4,100nF,C_0402_1005Metric,205.2854,-115.9435,180.0,top
C5,100nF,C_0402_1005Metric,207.0354,-111.6584,180.0,top
C6,100nF,C_0402_1005Metric,217.0607,-122.682,-90.0,top
C7,100nF,C_0402_1005Metric,211.836,-103.3018,90.0,top
C8,100nF,C_0402_1005Metric,219.1258,-115.9435,0.0,top
C9,100nF,C_0402_1005Metric,217.2462,-111.3282,0.0,top
D1,D_Small,Diode_SOD-123,125.67751,-93.382708,-18.0,top
D10,D_Small,Diode_SOD-123,299.461327,-93.166396,18.0,top
D11,D_Small,Diode_SOD-123,120.565299,-109.075132,-18.0,top
D12,D_Small,Diode_SOD-123,139.631791,-103.80353,-18.0,top
D13,D_Small,Diode_SOD-123,156.602272,-104.965823,-18.0,top
D14,D_Small,Diode_SOD-123,171.016656,-113.974328,-18.0,top
D15,D_Small,Diode_SOD-123,185.942259,-121.413584,-18.0,top
D16,D_Small,Diode_SOD-123,239.196578,-121.197272,18.0,top
D17,D_Small,Diode_SOD-123,254.122165,-113.758016,18.0,top
D18,D_Small,Diode_SOD-123,268.536549,-104.749511,18.0,top
D19,D_Small,Diode_SOD-123,285.507046,-103.587218,18.0,top
D2,D_Small,Diode_SOD-123,144.743986,-88.11109,-18.0,top
D20,D_Small,Diode_SOD-123,304.573522,-108.85882,18.0,top
D21,D_Small,Diode_SOD-123,115.453104,-124.767572,-18.0,top
D22,D_Small,Diode_SOD-123,134.519596,-119.495954,-18.0,top
D23,D_Small,Diode_SOD-123,151.490077,-120.658247,-18.0,top
D24,D_Small,Diode_SOD-123,165.904461,-129.666752,-18.0,top
D25,D_Small,Diode_SOD-123,180.830064,-137.106025,-18.0,top
D26,D_Small,Diode_SOD-123,244.308774,-136.889713,18.0,top
D27,D_Small,Diode_SOD-123,259.234377,-129.45044,18.0,top
D28,D_Small,Diode_SOD-123,273.64876,-120.441935,18.0,top
D29,D_Small,Diode_SOD-123,290.619241,-119.279642,18.0,top
D3,D_Small,Diode_SOD-123,161.714467,-89.273383,-18.0,top
D30,D_Small,Diode_SOD-123,309.685717,-124.55126,18.0,top
D31,D_Small,Diode_SOD-123,166.713444,-153.773606,-13.0,top
D32,D_Small,Diode_SOD-123,184.844407,-160.599866,-28.0,top
D33,D_Small,Diode_SOD-123,200.433647,-171.803513,-43.0,top
D34,D_Small,Diode_SOD-123,224.551381,-171.326114,43.0,top
D35,D_Small,Diode_SOD-123,240.246753,-160.271235,28.0,top
D36,D_Small,Diode_SOD-123,258.441696,-153.61614,13.0,top
D4,D_Small,Diode_SOD-123,176.128851,-98.281888,-18.0,top
D5,D_Small,Diode_SOD-123,191.054454,-105.721143,-18.0,top
D6,D_Small,Diode_SOD-123,234.084367,-105.504831,18.0,top
D7,D_Small,Diode_SOD-123,249.00997,-98.065576,18.0,top
D8,D_Small,Diode_SOD-123,263.424354,-89.057071,18.0,top
D9,D_Small,Diode_SOD-123,280.394835,-87.894778,18.0,top
R3,27Ω,R_0402_1005Metric,212.9028,-108.202001,90.0,top
R4,27Ω,R_0402_1005Metric,213.996533,-108.194201,90.0,top
R5,5.1kΩ,R_0402_1005Metric,202.565,-115.5954,0.0,top
R6,1kΩ,R_0402_1005Metric,215.9,-122.6846,90.0,top
R7,5.1kΩ,R_0402_1005Metric,221.667799,-117.856,0.0,top
R8,5.1kΩ,R_0402_1005Metric,202.565,-116.6622,180.0,top
R9,1kΩ,R_0402_1005Metric,202.565,-117.729,180.0,top
S1,Keyswitch,CPG1316S01D02_castelated_mikecinq,124.572098,-95.652193,-18.0,top
S10,Keyswitch,CPG1316S01D02_castelated_mikecinq,299.900999,-95.652193,18.0,top
S11,Keyswitch,CPG1316S01D02_castelated_mikecinq,119.459887,-111.344617,-18.0,top
S12,Keyswitch,CPG1316S01D02_castelated_mikecinq,138.526379,-106.073015,-18.0,top
S13,Keyswitch,CPG1316S01D02_castelated_mikecinq,155.49686,-107.235308,-18.0,top
S14,Keyswitch,CPG1316S01D02_castelated_mikecinq,169.911244,-116.243813,-18.0,top
S15,Keyswitch,CPG1316S01D02_castelated_mikecinq,184.836847,-123.683069,-18.0,top
S16,Keyswitch,CPG1316S01D02_castelated_mikecinq,239.63625,-123.683069,18.0,top
S17,Keyswitch,CPG1316S01D02_castelated_mikecinq,254.561837,-116.243813,18.0,top
S18,Keyswitch,CPG1316S01D02_castelated_mikecinq,268.976221,-107.235308,18.0,top
S19,Keyswitch,CPG1316S01D02_castelated_mikecinq,285.946718,-106.073015,18.0,top
S2,Keyswitch,CPG1316S01D02_castelated_mikecinq,143.638574,-90.380575,-18.0,top
S20,Keyswitch,CPG1316S01D02_castelated_mikecinq,305.013194,-111.344617,18.0,top
S21,Keyswitch,CPG1316S01D02_castelated_mikecinq,114.347692,-127.037057,-18.0,top
S22,Keyswitch,CPG1316S01D02_castelated_mikecinq,133.414184,-121.765439,-18.0,top
S23,Keyswitch,CPG1316S01D02_castelated_mikecinq,150.384665,-122.927732,-18.0,top
S24,Keyswitch,CPG1316S01D02_castelated_mikecinq,164.799049,-131.936237,-18.0,top
S25,Keyswitch,CPG1316S01D02_castelated_mikecinq,179.724652,-139.37551,-18.0,top
S26,Keyswitch,CPG1316S01D02_castelated_mikecinq,244.748446,-139.37551,18.0,top
S27,Keyswitch,CPG1316S01D02_castelated_mikecinq,259.674049,-131.936237,18.0,top
S28,Keyswitch,CPG1316S01D02_castelated_mikecinq,274.088432,-122.927732,18.0,top
S29,Keyswitch,CPG1316S01D02_castelated_mikecinq,291.058913,-121.765439,18.0,top
S3,Keyswitch,CPG1316S01D02_castelated_mikecinq,160.609055,-91.542868,-18.0,top
S30,Keyswitch,CPG1316S01D02_castelated_mikecinq,310.125389,-127.037057,18.0,top
S31,Keyswitch,CPG1316S01D02_castelated_mikecinq,165.810037,-156.130798,-13.0,top
S32,Keyswitch,CPG1316S01D02_castelated_mikecinq,183.361697,-162.642919,-28.0,top
S33,Keyswitch,CPG1316S01D02_castelated_mikecinq,198.472678,-173.393197,-43.0,top
S34,Keyswitch,CPG1316S01D02_castelated_mikecinq,226.000403,-173.393197,43.0,top
S35,Keyswitch,CPG1316S01D02_castelated_mikecinq,241.1114,-162.642919,28.0,top
S36,Keyswitch,CPG1316S01D02_castelated_mikecinq,258.663044,-156.130798,13.0,top
S4,Keyswitch,CPG1316S01D02_castelated_mikecinq,175.023439,-100.551373,-18.0,top
S5,Keyswitch,CPG1316S01D02_castelated_mikecinq,189.949042,-107.990628,-18.0,top
S6,Keyswitch,CPG1316S01D02_castelated_mikecinq,234.524039,-107.990628,18.0,top
S7,Keyswitch,CPG1316S01D02_castelated_mikecinq,249.449642,-100.551373,18.0,top
S8,Keyswitch,CPG1316S01D02_castelated_mikecinq,263.864026,-91.542868,18.0,top
S9,Keyswitch,CPG1316S01D02_castelated_mikecinq,280.834507,-90.380575,18.0,top
SW1,SW_Push,Button_TL3342,225.018201,-121.3562,180.0,top
SW2,SW_Push,Button_TL3342,199.466599,-121.3562,180.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,212.23654,-114.9435,0.0,top
