Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1μF,C_0402_1005Metric,146.125,-40.375,180.0,top
C10,30 pF,C_0402_1005Metric,154.185001,-40.9,180.0,top
C2,0.1μF,C_0402_1005Metric,147.18,-48.45,-90.0,top
C3,0.1μF,C_0402_1005Metric,150.68,-45.37,0.0,top
C4,0.1μF,C_0402_1005Metric,150.275,-42.15,90.0,top
C5,0.1μF,C_0402_1005Metric,142.16,-45.74,0.0,top
C6,10μF,C_0402_1005Metric,142.16,-46.86,0.0,top
C7,10μF,C_0402_1005Metric,145.625,-34.395,90.0,top
C8,10μF,C_0402_1005Metric,148.43,-50.82,0.0,top
C9,30 pF,C_0402_1005Metric,154.65,-48.3,180.0,top
J1,046809610110846+ Male,Kyocera_046809610110846+_PCB_Edge,148.245,-35.0725,-90.0,top
R1,649Ω,R_0402_1005Metric,150.35,-46.925,0.0,top
R2,10kΩ,R_0402_1005Metric,149.325,-40.425,0.0,top
R3,10kΩ,R_0402_1005Metric,142.415001,-42.591667,180.0,top
R4,10kΩ,R_0402_1005Metric,141.065001,-44.625,180.0,top
R5,10kΩ,R_0402_1005Metric,141.065001,-43.6,0.0,top
R6,0Ω,R_0402_1005Metric,142.415001,-41.4,0.0,top
R7,1kΩ,R_0402_1005Metric,152.260001,-40.95,0.0,top
U1,CY7C65634-28LTXC,QFN-28,146.525,-44.15,90.0,top
Y1,12MHz 20pF,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,153.7525,-44.6025,90.0,top
